drugbank_id,gene_symbol
DB00157,MT-ND1
DB00157,NNT
DB00157,NDUFA5
DB00157,NDUFA9
DB00157,MT-ND4L
DB00157,NDUFA10
DB00157,NDUFA7
DB00157,NDUFA1
DB00157,MT-ND6
DB00157,MT-ND5
DB00157,NDUFA4
DB00157,NDUFA6
DB00157,NDUFAB1
DB00157,NDUFA2
DB00157,NDUFA8
DB00157,NDUFA3
DB00157,NDUFB8
DB00157,NDUFC2
DB00157,NDUFB1
DB00157,NDUFS1
DB00157,NDUFB10
DB00157,NDUFB4
DB00157,NDUFB3
DB00157,NDUFB2
DB00157,NDUFB7
DB00157,NDUFB9
DB00157,NDUFS2
DB00157,NDUFB5
DB00157,NDUFC1
DB00157,NDUFB6
DB00157,NDUFV3
DB00157,DLD
DB00157,NDUFS3
DB00157,GSR
DB00157,NDUFA12
DB00157,NDUFS5
DB00157,NDUFS4
DB00157,NDUFV1
DB00157,NDUFV2
DB00157,NDUFA13
DB00157,CDO1
DB00157,NDUFS6
DB00157,NDUFA4L2
DB00157,NDUFS8
DB00157,CYP4A11
DB00157,DLAT
DB00157,AMT
DB00157,SC4MOL
DB00157,HMOX1
DB00157,HMOX2
DB00157,CYP17A1
DB00157,TYR
DB00157,XDH
DB00157,ADH1A
DB00157,ADH1B
DB00157,ADH4
DB00157,ADH5
DB00157,ADH7
DB00158,FOLR2
DB00158,FOLR3
DB00158,FOLR1
DB00158,GGH
DB00158,MTHFR
DB00158,ALB
DB00158,ABCC3
DB00158,hROAT1
DB00158,ABCC4
DB00158,ABCG2
DB00158,SLC46A1
DB00158,SLC25A32
DB00159,PTGS2
DB00159,PTGS1
DB00159,PPARG
DB00159,PPARD
DB00159,DKFZp762M2311
DB00159,ACSL4
DB00159,ACSL3
DB00159,FFAR1
DB00159,SLC8A1
DB00159,TRPV1
DB00159,PPARA
DB00159,FABP7
DB00159,ALB
DB00160,AGXT
DB00160,ABAT
DB00160,KYNU
DB00160,AARS2
DB00160,AGXT2L2
DB00160,GPT2
DB00160,GPT
DB00160,NFS1
DB00160,SLC36A1
DB00160,SLC7A8
DB00160,AGXT2
DB00160,AARS
DB00160,SLC1A4
DB00161,PCCB
DB00161,BCAT1
DB00161,VARS
DB00161,VARS
DB00161,PCCB
DB00161,BCAT1
DB00162,RDH12
DB00162,DHRS3
DB00162,ALDH1A3
DB00162,RETSAT
DB00162,RDH11
DB00162,DHRS4
DB00162,RDH14
DB00162,RDH8
DB00162,LRAT
DB00162,RBP1
DB00162,RDH5
DB00162,RDH13
DB00162,RBP3
DB00162,ALDH1A2
DB00162,ALDH1A1
DB00162,RLBP1
DB00162,CYP26A1
DB00162,RBP5
DB00162,RBP7
DB00162,RBP4
DB00162,RBP2
DB00162,ALB
DB00163,NR1I2
DB00163,PRKCB1
DB00163,ALOX5
DB00163,PRKCA
DB00163,DGKA
DB00163,PPP2CB
DB00163,PPP2CA
DB00163,SEC14L4
DB00163,SEC14L3
